FKName	ParentTable	ParentColumns	RefTable	RefColumns
FK_FolhaFixas_Colaboradores_ColaboradorId	dbo.FolhaFixas	ColaboradorId	dbo.Colaboradores	Id
FK_FolhaFixas_SetorFinanceiros_SetorFinanceiroId	dbo.FolhaFixas	SetorFinanceiroId	dbo.SetorFinanceiros	Id
FK_FolhaFixas_TipoContratos_TipoContratoId	dbo.FolhaFixas	TipoContratoId	dbo.TipoContratos	Id
FK_Folhas_Colaboradores_ColaboradorControladoId	dbo.Folhas	ColaboradorControladoId	dbo.Colaboradores	Id
FK_Folhas_Colaboradores_ColaboradorDeliveryManagerId	dbo.Folhas	ColaboradorDeliveryManagerId	dbo.Colaboradores	Id
FK_Folhas_Colaboradores_ColaboradorId	dbo.Folhas	ColaboradorId	dbo.Colaboradores	Id
FK_Folhas_Colaboradores_ColaboradorTechLeadId	dbo.Folhas	ColaboradorTechLeadId	dbo.Colaboradores	Id
FK_Folhas_ProjetoEmpresaColaboradores_ProjetoId	dbo.Folhas	ProjetoId	dbo.ProjetoEmpresaColaboradores	Id
FK_HistoricoBens_Colaboradores	dbo.HistoricoBens	UsuarioId	dbo.Colaboradores	Id
FK_HistoricoBens_Patrimonios	dbo.HistoricoBens	PatrimonioId	dbo.Patrimonios	Id
FK__Historico__Paine__0446695E	dbo.HistoricoPainelOcorrencias	PainelDeOcorrenciaId	dbo.PainelDeOcorrencias	Id
FK__Historico__Ticke__75C33FDD	dbo.HistoricoTicket	TicketId	dbo.Ticket	Id
FK_HistoricoTicketAnexos_HistoricoTicket	dbo.HistoricoTicketAnexos	HistoricoTicketId	dbo.HistoricoTicket	Id
FK__Historico__IdUsu__61674175	dbo.HistoricoVaga	IdUsuario	dbo.AspNetUsers	Id
FK__Historico__IdVag__60731D3C	dbo.HistoricoVaga	IdVaga	dbo.Vagas	Id
FK_ImpostoPago_ConfigContas_ConfigContaId	dbo.ImpostoPago	ConfigContaId	dbo.ConfigContas	Id
FK_LancamentoPagamentos_Categorias_CategoriaId	dbo.LancamentoPagamentos	CategoriaId	dbo.Categorias	Id
FK_LancamentoPagamentos_ConfigContas_ConfigContaId	dbo.LancamentoPagamentos	ConfigContaId	dbo.ConfigContas	Id
FK_LancamentoPagamentos_PessoaFavorecidos_FavorecidoId	dbo.LancamentoPagamentos	FavorecidoId	dbo.PessoaFavorecidos	Id
FK_lancamentosManuais_Colaboradores_ColaboradorId	dbo.lancamentosManuais	ColaboradorId	dbo.Colaboradores	Id
FK_lancamentosManuais_ProjetoEmpresaColaboradores_ProjetoEmpresaColaboradorId	dbo.lancamentosManuais	ProjetoEmpresaColaboradorId	dbo.ProjetoEmpresaColaboradores	Id
FK_LogDados_AspNetUsers_IdentityUserId	dbo.LogDados	IdentityUserId	dbo.AspNetUsers	Id
FK_LogFolha_Colaboradores	dbo.LogFolha	ColaboradorId	dbo.AspNetUsers	Id
FK_LogFolhaDetalheAPagar_Colaboradores	dbo.LogFolhaDetalheAPagar	ColaboradorId	dbo.Colaboradores	Id
FK_LogFolhaDetalheAPagar_LogFolha	dbo.LogFolhaDetalheAPagar	LogFolhaId	dbo.LogFolha	Id
FK_LogFolhaDetalheAReceber_Empresas	dbo.LogFolhaDetalheAReceber	EmpresaId	dbo.Empresas	Id
FK_LogFolhaDetalheAReceber_EmpresasOrigem	dbo.LogFolhaDetalheAReceber	EmpresaOrigemId	dbo.Empresas	Id
PK_LogFolhaDetalheAReceber_LogFolha	dbo.LogFolhaDetalheAReceber	LogFolhaId	dbo.LogFolha	Id
FK_LogPainelDeOcorrencia_Colaborador	dbo.LogPainelDeOcorrencia	ColaboradorId	dbo.Colaboradores	Id
FK_LogPainelDeOcorrencia_Usuario	dbo.LogPainelDeOcorrencia	UsuarioId	dbo.AspNetUsers	Id
FK__LogTicket__Ticke__6B45B16A	dbo.LogTicket	TicketId	dbo.Ticket	Id
FK_ModulosPerfis_AspNetRoles	dbo.ModulosPerfis	IdPerfil	dbo.AspNetRoles	Id
FK_ModulosPerfis_Modulos	dbo.ModulosPerfis	IdModulo	dbo.Modulos	Id
FK__Notificac__DataA__5C387804	dbo.Notificacoes	UsuarioId	dbo.AspNetUsers	Id
FK_PainelDeOcorrencia_Cliente	dbo.PainelDeOcorrencias	ClienteId	dbo.Empresas	Id
FK_PainelDeOcorrencia_Colaborador	dbo.PainelDeOcorrencias	ColaboradorId	dbo.Colaboradores	Id
FK_PainelDeOcorrencia_Contrato	dbo.PainelDeOcorrencias	ContratoId	dbo.Contratos	Id
FK_PainelDeOcorrencias_AspNetUsers	dbo.PainelDeOcorrencias	UsuarioId	dbo.AspNetUsers	Id
FK_PapelAlias_Papeis_PapelId	dbo.PapelAlias	PapelId	dbo.Papeis	Id
FK_Patrimonios_Colaboradores_ColaboradoresId	dbo.Patrimonios	ColaboradoresId	dbo.Colaboradores	Id
FK_Patrimonios_TipoBem_TipoBemId	dbo.Patrimonios	TipoBemId	dbo.TipoBem	Id
FK_ProjetoEmpresaColaboradores_Colaboradores_ColaboradorDeliveryManagerId	dbo.ProjetoEmpresaColaboradores	ColaboradorDeliveryManagerId	dbo.Colaboradores	Id
FK_ProjetoEmpresaColaboradores_Colaboradores_ColaboradorId	dbo.ProjetoEmpresaColaboradores	ColaboradorId	dbo.Colaboradores	Id
FK_ProjetoEmpresaColaboradores_Colaboradores_ColaboradorTechLeadId	dbo.ProjetoEmpresaColaboradores	ColaboradorTechLeadId	dbo.Colaboradores	Id
FK_ProjetoEmpresaColaboradores_Contratos_ContratoId	dbo.ProjetoEmpresaColaboradores	ContratoId	dbo.Contratos	Id
FK_RefreshTokens_AspNetUsers	dbo.RefreshTokens	UserId	dbo.AspNetUsers	Id
FK_SkillAlias_Skills_SkillId	dbo.SkillAlias	SkillId	dbo.Skills	Id
FK_Skills_CategoriaSkills_CategoriaSkillId	dbo.Skills	CategoriaSkillId	dbo.CategoriaSkills	Id
FK_SugestoesReclamacoes_AspNetUsers	dbo.SugestoesReclamacoes	UsuarioId	dbo.AspNetUsers	Id
FK__Ticket__AreaId__686944BF	dbo.Ticket	AreaId	dbo.Area	Id
FK__Ticket__TipoTare__695D68F8	dbo.Ticket	TipoTarefaId	dbo.TipoTarefa	Id
FK_Ticket_Colaborador_ResponsavelId	dbo.Ticket	ResponsavelId	dbo.Colaboradores	Id
FK_UploadTimeSheet_Colaboradores_IdColaborador	dbo.UploadTimeSheet	IdColaborador	dbo.Colaboradores	Id
FK_UploadTimeSheet_Colaboradores_IdColaboradorUpload	dbo.UploadTimeSheet	IdColaboradorUpload	dbo.Colaboradores	Id
FK_UploadTimeSheet_Contratos	dbo.UploadTimeSheet	ContratoId	dbo.Contratos	Id
FK_UploadTimeSheet_Empresas_IdCliente	dbo.UploadTimeSheet	IdCliente	dbo.Empresas	Id
FK_UploadTimeSheetBody_UploadTimeSheet_IdUploadTimeSheet	dbo.UploadTimeSheetBody	IdUploadTimeSheet	dbo.UploadTimeSheet	Id
FK_UsuariosEmpresasSistema_AspNetUsers	dbo.UsuariosEmpresasSistema	IdUsuario	dbo.AspNetUsers	Id
FK_UsuariosEmpresasSistema_EmpresasSistema	dbo.UsuariosEmpresasSistema	IdEmpresaSistema	dbo.EmpresasSistema	Id
FK__Vagas__IdStatus__5D96B091	dbo.Vagas	IdStatus	dbo.StatusVaga	Id
FK_Vagas_AspNetUsers_IdVendedor	dbo.Vagas	IdVendedor	dbo.AspNetUsers	Id
FK_Vagas_Empresas	dbo.Vagas	EmpresaId	dbo.Empresas	Id
FK_VagasSkills_Senioridades_SenioridadeId	dbo.VagasSkills	SenioridadeId	dbo.Senioridades	Id
FK_VagasSkills_Skills_SkillId	dbo.VagasSkills	SkillId	dbo.Skills	Id
FK_VagasSkills_Vagas_VagaId	dbo.VagasSkills	VagaId	dbo.Vagas	Id
